"","Spp_ID","Binomial","No.Records","No.Localities","Body_mass.g.n","Body_mass.g.mean","Body_mass.g.sd","Body_mass.g.median","Body_mass.g.min","Body_mass.g.max","Body_mass.g.se","Body_length.mm.n","Body_length.mm.mean","Body_length.mm.sd","Body_length.mm.median","Body_length.mm.min","Body_length.mm.max","Body_length.mm.se","Wing_length.mm.n","Wing_length.mm.mean","Wing_length.mm.sd","Wing_length.mm.median","Wing_length.mm.min","Wing_length.mm.max","Wing_length.mm.se","Tail_length.mm.n","Tail_length.mm.mean","Tail_length.mm.sd","Tail_length.mm.median","Tail_length.mm.min","Tail_length.mm.max","Tail_length.mm.se","Tarsus_length.mm.n","Tarsus_length.mm.mean","Tarsus_length.mm.sd","Tarsus_length.mm.median","Tarsus_length.mm.min","Tarsus_length.mm.max","Tarsus_length.mm.se","Bill_length.mm.n","Bill_length.mm.mean","Bill_length.mm.sd","Bill_length.mm.median","Bill_length.mm.min","Bill_length.mm.max","Bill_length.mm.se","Bill_depth.mm.n","Bill_depth.mm.mean","Bill_depth.mm.sd","Bill_depth.mm.median","Bill_depth.mm.min","Bill_depth.mm.max","Bill_depth.mm.se","Bill_width.mm.n","Bill_width.mm.mean","Bill_width.mm.sd","Bill_width.mm.median","Bill_width.mm.min","Bill_width.mm.max","Bill_width.mm.se"
"348",348,"Hylophilus thoracicus",18,9,13,11.51,2.4,12,7.6,15.5,0.67,10,122.6,11.87,125.5,94,135,3.75,5,54.1,2.04,54.5,51.1,56,0.91,9,49.46,8.59,51,34,58.3,2.86,5,19.58,0.69,19.7,18.8,20.6,0.31,7,11.91,0.93,12.3,10.3,12.7,0.35,3,3.4,0.7,3.7,2.6,3.9,0.4,2,4,0.28,4,3.8,4.2,0.2
"349",349,"Cantorchilus leucotis",17,10,16,20.28,2.19,20.3,17.05,26,0.55,3,136.33,11.06,135,126,148,6.39,14,63.42,2.86,63.45,58.7,69.5,0.76,15,45.24,2.91,45.9,40.8,49.5,0.75,14,27,2.1,27.45,22.6,30,0.56,13,19.28,2.02,19.8,16.7,22,0.56,1,3.94,NA,3.94,3.94,3.94,NA,1,4.18,NA,4.18,4.18,4.18,NA
"350",350,"Eleoscytalopus indigoticus",17,14,16,14.76,1.38,14.95,12,16.8,0.35,14,122.21,9.65,120.5,105,138,2.58,2,48,2.83,48,46,50,2,2,34.5,3.54,34.5,32,37,2.5,2,19.4,0.71,19.4,18.9,19.9,0.5,1,9.6,NA,9.6,9.6,9.6,NA,1,4.4,NA,4.4,4.4,4.4,NA,1,7.1,NA,7.1,7.1,7.1,NA
"351",351,"Hemitriccus kaempferi",17,2,17,8.48,0.52,8.5,7.5,9.3,0.13,7,103.86,5.01,105,95,110,1.9,17,47.47,2.07,47,45,53,0.5,17,42.65,3.26,42,38,48,0.79,17,19.94,1.74,19.56,17.45,22.7,0.42,17,13.28,0.48,13.36,12.46,14.04,0.12,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"352",352,"Penelope obscura",17,16,17,1284.24,281.56,1288,750,1950,68.29,17,732.03,50.94,743,620.5,800,12.36,12,314.86,27.2,316,280,380.28,7.85,12,316.42,26.09,317.5,278,359,7.53,11,90.67,9.34,88,75,109.7,2.82,0,NA,NA,NA,Inf,-Inf,NA,11,15.75,3.9,15,11,22,1.17,10,21.04,3.23,21.05,16.4,25.4,1.02
"353",353,"Sporophila bouvreuil",17,9,6,9.05,0.67,9,8,10,0.28,9,100.33,8.37,101.25,88.31,115,2.79,3,51.57,2.02,51.9,49.4,53.4,1.17,6,39.54,2.7,40.15,35.92,42.2,1.1,4,14.68,0.6,14.8,13.9,15.2,0.3,4,8.06,0.72,7.93,7.36,9.02,0.36,4,5.87,0.14,5.88,5.73,6.01,0.07,4,6.8,0.26,6.84,6.48,7.05,0.13
"354",354,"Amaurospiza moesta",16,12,15,14.49,3.63,13.4,11,26,0.94,5,125.6,5.77,125,120,132,2.58,5,63.2,1.3,63,62,65,0.58,13,57.5,3.33,56,54,66,0.92,11,19.9,2.1,19.55,18.2,26,0.63,5,11.28,0.73,11.3,10.4,12,0.33,3,7.33,0.15,7.3,7.2,7.5,0.09,3,10,0.36,9.9,9.7,10.4,0.21
"355",355,"Cacicus chrysopterus",16,11,16,38.76,4.99,39.5,29.7,46,1.25,9,208.22,8.58,210,195,222,2.86,3,102,6.08,105,95,106,3.51,11,93.25,5.84,95.5,84.5,103.8,1.76,7,26.05,2.01,25.4,23.6,30,0.76,6,22.13,2.47,21.85,19,25.3,1.01,3,9.63,1.01,9.1,9,10.8,0.58,3,7.23,1.1,7.6,6,8.1,0.63
"356",356,"Clibanornis dendrocolaptoides",16,6,12,49.92,5.23,49,42,62,1.51,12,229.5,11.41,236,206,240,3.29,2,96,1.41,96,95,97,1,14,98.29,6.15,99.1,88.6,111.9,1.64,2,32.75,2.47,32.75,31,34.5,1.75,8,23.36,1.34,22.95,22,25.2,0.47,7,6.99,0.59,7.2,6.3,7.7,0.22,7,5.94,2.09,5,4.7,10.6,0.79
"357",357,"Cyanocorax chrysops",16,13,12,161.42,21.88,161,135,214,6.32,11,344.55,18.85,340,325,380,5.68,8,150.88,7.26,151,142,162,2.57,13,160.63,13.21,155,147,196,3.66,8,49.59,3.53,49.9,44.4,54.18,1.25,10,34.44,15.21,30.5,24,76.89,4.81,11,16.75,11.37,13,11.23,50.43,3.43,9,15.23,2.89,15.4,10,18.4,0.96
"358",358,"Dysithamnus stictothorax",16,11,13,15.92,0.79,16,14.5,17,0.22,12,123.33,5.57,122.5,115,132,1.61,9,55.78,8.66,60,41,65,2.89,10,46.3,7.92,44.5,33,60,2.5,10,20.53,0.76,20.2,19.7,21.7,0.24,10,14.71,2.71,15,9.8,18,0.86,5,5.63,0.52,5.5,5,6.36,0.23,5,11.12,0.33,11.2,10.6,11.4,0.15
"359",359,"Heliomaster squamosus",16,5,15,6.25,0.59,6,5,7,0.15,14,127.36,4.78,127.5,118,136,1.28,2,57.9,0.14,57.9,57.8,58,0.1,2,37.45,3.89,37.45,34.7,40.2,2.75,0,NA,NA,NA,Inf,-Inf,NA,1,38.9,NA,38.9,38.9,38.9,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"360",360,"Leptasthenura striolata",16,7,13,9.18,1.12,9.3,7.8,12,0.31,2,153,7.07,153,148,158,5,2,60.55,9.12,60.55,54.1,67,6.45,11,59.08,10.31,54.2,52.4,81.3,3.11,9,18.81,2.26,18,16.6,24.3,0.75,0,NA,NA,NA,Inf,-Inf,NA,3,3.52,0.34,3.4,3.25,3.9,0.2,3,5.15,1.82,5.6,3.15,6.7,1.05
"361",361,"Macropsalis forcipata",16,10,13,57.73,8.59,57,39,70,2.38,10,428.6,201.34,316.5,263,770,63.67,5,213.8,30.11,197,189,250,13.47,16,292.31,191.58,187,150,668,47.9,15,19.55,1.87,19.2,16.2,22.8,0.48,6,10.07,0.93,10.12,9.05,11.53,0.38,10,5.51,6.23,3.38,2.3,23.1,1.97,11,11.53,7.38,7.31,5.35,25.4,2.22
"362",362,"Myrmotherula urosticta",16,5,15,8.35,1.11,8.5,6,10.3,0.29,11,97,8.2,95,89,114,2.47,6,47.33,8.59,51,36,56,3.51,15,42.13,8.65,38,31,54,2.23,6,15.94,1.03,15.6,15.1,17.75,0.42,15,15.36,2.07,14.3,13,19,0.53,5,4.1,0.08,4.09,4.01,4.22,0.04,5,5.94,1.49,4.98,4.67,7.85,0.66
"363",363,"Tangara fastuosa",16,5,13,22.42,3.27,22,15,30,0.91,15,134.32,4.89,134.72,122,144.41,1.26,3,70.67,5.03,70,66,76,2.91,15,50.7,2.26,50,45.82,56.01,0.58,0,NA,NA,NA,Inf,-Inf,NA,15,12.7,0.56,12.62,11.85,14,0.15,14,6.82,0.26,6.79,6.46,7.3,0.07,15,9.08,0.59,9,7.89,9.97,0.15
"364",364,"Xiphorhynchus guttatus",16,11,15,55.3,19,57,23,90,4.91,15,234.73,36.4,249,160,277,9.4,7,99.08,13.88,95,80,121.55,5.25,14,98.48,18.87,106.79,66,120.02,5.04,7,24.91,3.12,24.5,21.8,31.4,1.18,16,33.07,8.16,34.94,15.1,42.6,2.04,14,8.27,1.66,8.64,5,9.99,0.44,14,12.55,2.07,12.6,10.27,15.9,0.55
"365",365,"Antrostomus rufus",15,11,7,52.86,12.72,53,39,75,4.81,1,225,NA,225,225,225,NA,1,171,NA,171,171,171,NA,9,133.33,8.03,132,120,142,2.68,7,18,0.97,18.53,16.5,18.83,0.37,7,11.07,1.02,11.4,9.18,12.11,0.39,7,4.21,0.66,4.28,3.03,4.97,0.25,8,7.96,2.5,7.41,6.33,14,0.88
"366",366,"Chordeiles acutipennis",15,7,4,39,20.31,40,19,57,10.16,1,205,NA,205,205,205,NA,2,74.2,16.97,74.2,62.2,86.2,12,13,105.62,3.75,105,98,110,1.04,11,13.94,1.12,13.92,12.2,15.68,0.34,15,6.66,2.4,5.8,5.24,12.9,0.62,10,3.5,0.24,3.5,3.19,3.85,0.08,13,4.93,0.39,4.89,4.42,5.55,0.11
"367",367,"Euphonia xanthogaster",15,10,12,12.38,0.6,12.25,11.5,13,0.17,9,101.28,6.9,100,93.51,114,2.3,7,54.03,8.45,57,35,58.7,3.19,14,40.78,12.51,35,29,62,3.34,6,16.08,2.31,16.2,13.2,19.6,0.94,13,8.73,1.08,8.9,7.4,11,0.3,6,5.15,0.5,4.86,4.79,5.81,0.21,6,6.3,0.81,6.43,5.1,7.14,0.33
"368",368,"Machetornis rixosa",15,11,14,32.76,4.98,33.5,21,43,1.33,9,190.33,18.46,185,168,220,6.15,10,96.85,11.65,92.15,88,120,3.68,11,80.32,9.45,80,70,105,2.85,10,29.18,4.2,29.95,18,33.6,1.33,8,18.14,3.38,17.25,14.2,22.8,1.2,4,5.83,1.93,5.35,4.1,8.5,0.97,4,13.06,7.15,12.28,5.6,22.1,3.58
"369",369,"Scytalopus petrophilus",15,13,15,15.94,1.28,15.8,13.9,18.2,0.33,15,125.53,7.25,125,111,141,1.87,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"370",370,"Serpophaga nigricans",15,11,9,8.97,1.15,9,7,10.5,0.38,8,124.5,7.86,125.5,110,135,2.78,6,59.27,4.49,58.5,54.6,65,1.83,9,55.07,6.93,55,45,70,2.31,7,18.49,1.15,18.5,16.4,20.3,0.43,8,10.64,1.86,11,8.3,13.1,0.66,2,2.8,0.28,2.8,2.6,3,0.2,2,6.4,1.13,6.4,5.6,7.2,0.8
"371",371,"Sporophila lineola",15,8,14,9.68,0.63,9.4,9,11,0.17,13,120.61,6.74,125,108,126,1.87,0,NA,NA,NA,Inf,-Inf,NA,2,45.22,3.14,45.22,43,47.44,2.22,1,16,NA,16,16,16,NA,2,9.71,1.82,9.71,8.43,11,1.29,1,6.55,NA,6.55,6.55,6.55,NA,1,6.65,NA,6.65,6.65,6.65,NA
"372",372,"Amazilia leucogaster",14,5,13,3.96,0.69,4,3,5,0.19,3,96.59,5.87,99.97,89.81,100,3.39,1,41.9,NA,41.9,41.9,41.9,NA,4,31.86,3.4,31.97,27.7,35.8,1.7,0,NA,NA,NA,Inf,-Inf,NA,3,21.04,2.38,22.29,18.3,22.53,1.37,2,2.69,0.16,2.69,2.58,2.8,0.11,2,4.29,0.19,4.29,4.15,4.42,0.13
"373",373,"Aramides saracura",14,11,14,254.43,176.02,344,22.5,478,47.04,14,285.11,126.37,352.5,108,420,33.77,8,169,45,185,60.5,200,15.91,7,69.76,9.48,70.3,50,78,3.58,10,64.44,23.84,70.25,21,90.8,7.54,2,12.25,0.35,12.25,12,12.5,0.25,8,15.21,2.92,16.2,10.2,18.7,1.03,8,17.19,8.68,14.65,10,37.7,3.07
"374",374,"Emberizoides herbicola",14,9,8,26,3.37,26,22,32,1.19,9,197.67,16.58,201,170,222,5.53,1,67.2,NA,67.2,67.2,67.2,NA,9,95.46,16.73,98.69,52.4,107.62,5.58,1,19.6,NA,19.6,19.6,19.6,NA,8,14.72,0.72,14.77,13.81,15.97,0.26,8,7.03,0.37,6.95,6.6,7.65,0.13,8,9.32,0.65,9.21,8.53,10.56,0.23
"375",375,"Grallaria varia",14,10,8,134.38,8.53,133.5,125,148,3.02,9,209,4.87,208,205,220,1.62,2,125,7.07,125,120,130,5,11,56.45,3.91,57,50,63,1.18,7,60.16,4.12,59,55,66.1,1.56,10,23.36,5.3,25,12.1,30,1.67,2,9.53,0.67,9.53,9.05,10,0.47,4,15.1,5.54,15.1,9.7,20.5,2.77
"376",376,"Neopelma chrysolophum",14,8,13,15.22,5.09,14,13,32,1.41,4,142,10.83,146,126,150,5.42,1,67,NA,67,67,67,NA,7,55.57,1.27,56,54,57,0.48,1,19.5,NA,19.5,19.5,19.5,NA,7,8.43,0.95,8.3,7.1,9.9,0.36,1,3.9,NA,3.9,3.9,3.9,NA,2,6.67,1.65,6.67,5.5,7.84,1.17
"377",377,"Paroaria coronata",14,5,7,39.72,5.8,40,28.42,45,2.19,0,NA,NA,NA,Inf,-Inf,NA,13,96.15,7.1,98,79,108,1.97,14,79,9.28,82,55,88,2.48,14,25.98,1.18,25.99,23.28,27.79,0.31,10,15.07,2.19,15.45,11,18.6,0.69,8,8.66,0.39,8.68,8.09,9.16,0.14,8,7.34,0.83,6.95,6.49,8.79,0.29
"378",378,"Patagioenas picazuro",14,11,12,329.1,66.67,345.8,220,430,19.24,10,331,20.76,327.5,307,364,6.57,5,222.6,2.51,223,220,225,1.12,5,108,10.39,106,100,126,4.65,5,31.32,2.48,30.26,29.43,35.44,1.11,5,18.99,3.76,17.93,16.1,25.5,1.68,4,6.38,0.13,6.34,6.26,6.56,0.07,4,6.33,0.68,6.06,5.85,7.33,0.34
"379",379,"Polioptila dumicola",14,3,13,7.52,0.69,7.5,6.5,8.7,0.19,0,NA,NA,NA,Inf,-Inf,NA,5,52.2,1.92,52,50,55,0.86,14,55.43,4.67,56,46,63,1.25,14,18.24,0.63,18.4,17.2,19.3,0.17,9,11.02,1.05,11.25,9.2,12.3,0.35,4,2.12,0.14,2.12,1.98,2.26,0.07,4,2.55,0.23,2.58,2.25,2.8,0.12
"380",380,"Sicalis luteola",14,6,14,14.63,2.13,14.5,9,18,0.57,5,123.8,8.01,122,115,134,3.58,11,71.32,4.38,72,65,77,1.32,13,53.22,9.59,50,45,73.5,2.66,13,16.43,1.86,17,12,18.3,0.52,10,10.29,1.29,9.8,8.5,12.2,0.41,3,7.2,0.44,7,6.9,7.7,0.25,3,7.1,0.1,7.1,7,7.2,0.06
"381",381,"Sporophila albogularis",14,1,13,10.65,0.9,10.5,9,12,0.25,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"382",382,"Sturnella superciliaris",14,4,14,51.36,5.98,52,42,60,1.6,3,183,20.22,191,160,198,11.68,12,97.69,6.54,98,89,108,1.89,11,57.64,5.07,60,50,65,1.53,12,30.86,1.42,30.9,28,33,0.41,9,19.57,2,19,17.5,23.8,0.67,3,11.23,1.16,11.4,10,12.3,0.67,3,11.23,1.16,11.8,9.9,12,0.67
"383",383,"Thalurania watertonii",14,6,13,4.85,0.9,5,4,7,0.25,8,112,15.35,113.03,90.77,131.14,5.43,9,53.69,2.43,54.2,49.6,56.7,0.81,14,43.59,11.59,44.2,23.8,61.78,3.1,0,NA,NA,NA,Inf,-Inf,NA,14,21.37,0.98,21.3,19.9,23.8,0.26,10,2.25,0.33,2.17,1.9,2.91,0.11,10,3.83,0.57,3.73,3,4.65,0.18
"384",384,"Thamnophilus aethiops",14,7,14,26,3.58,25,23,37,0.96,9,155.72,5.37,155,147,164,1.79,4,72.9,1.56,72.45,71.6,75.1,0.78,13,59.98,9.76,62.03,29.19,67,2.71,4,22.94,1.09,23.02,21.8,23.9,0.55,13,18.54,1.21,18.5,17.07,21.4,0.33,9,6.84,0.19,6.8,6.61,7.29,0.06,9,11.06,0.7,10.77,10.1,11.88,0.23
"385",385,"Anthus hellmayri",13,12,13,19.18,1.53,19.5,17,21.3,0.42,11,148,5.73,149,135,156,1.73,2,75.55,3.61,75.55,73,78.1,2.55,2,56,5.66,56,52,60,4,2,22.6,0.14,22.6,22.5,22.7,0.1,0,NA,NA,NA,Inf,-Inf,NA,2,4.15,0.07,4.15,4.1,4.2,0.05,2,7.1,0.57,7.1,6.7,7.5,0.4
"386",386,"Asio stygius",13,10,12,499.67,81.15,514,344,596,23.43,11,412.91,14.67,410,385,430,4.42,11,318.09,13.45,323,287,328,4.06,11,169.55,9.88,171,150,185,2.98,11,48.83,8.19,49.9,36.6,62,2.47,0,NA,NA,NA,Inf,-Inf,NA,10,22.89,1.95,23.7,18.8,25.2,0.62,11,28.49,4.29,28.7,21.5,36,1.29
"387",387,"Cyanocorax cyanopogon",13,6,12,100.25,13.16,102.5,66,115,3.8,6,303.67,33.19,300.5,252,348,13.55,2,128.4,10.47,128.4,121,135.8,7.4,2,137.5,13.44,137.5,128,147,9.5,2,41.95,0.64,41.95,41.5,42.4,0.45,2,30.2,3.39,30.2,27.8,32.6,2.4,1,11.59,NA,11.59,11.59,11.59,NA,1,14.16,NA,14.16,14.16,14.16,NA
"388",388,"Formicivora serrana",13,11,13,11.08,0.96,11,10,13,0.27,13,129.15,9.41,130,115,140,2.61,1,49.9,NA,49.9,49.9,49.9,NA,1,51.8,NA,51.8,51.8,51.8,NA,1,19.6,NA,19.6,19.6,19.6,NA,1,15.8,NA,15.8,15.8,15.8,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"389",389,"Hylocharis sapphirina",13,3,13,4.3,0.45,4,3.7,5.25,0.13,1,84,NA,84,84,84,NA,12,49,1.95,48,47,53,0.56,13,28.08,1.5,28,26,31,0.42,0,NA,NA,NA,Inf,-Inf,NA,13,19.78,0.59,20,18.8,20.7,0.16,1,2.9,NA,2.9,2.9,2.9,NA,1,3.7,NA,3.7,3.7,3.7,NA
"390",390,"Nyctiphrynus ocellatus",13,12,4,85.12,94.62,38.75,36,227,47.31,4,220.75,22.78,230.5,187,235,11.39,0,NA,NA,NA,Inf,-Inf,NA,11,124.32,9.36,126,102.5,134,2.82,8,17.22,0.87,16.81,16.32,18.44,0.31,10,8.25,1.81,7.51,6.78,12.19,0.57,10,3.16,0.26,3.15,2.59,3.53,0.08,10,6.48,2.09,5.57,4.65,10.83,0.66
"391",391,"Sporophila angolensis",13,7,9,14.28,2.39,14,12,20,0.8,6,127,12.15,124.5,115,149,4.96,6,61.5,9.14,56.5,55,76,3.73,10,56.1,5,55.5,50,66,1.58,6,18.16,2.51,18.18,15,22.1,1.03,9,12.74,1.66,13.1,10.3,15,0.55,6,11.28,0.81,11.27,10.15,12.6,0.33,6,11.22,0.57,11.31,10.2,11.8,0.23
"392",392,"Trogon viridis",13,6,12,103.83,12.76,104.5,85,125,3.68,13,314.69,20.62,320,278,340,5.72,0,NA,NA,NA,Inf,-Inf,NA,13,163.08,15.12,165,129,181,4.19,0,NA,NA,NA,Inf,-Inf,NA,13,19.99,1.36,19.95,17.7,21.8,0.38,3,11.23,0.67,11.36,10.5,11.82,0.39,3,17.73,5.03,19.73,12,21.45,2.91
"393",393,"Agelaioides fringillarius",12,2,12,38.57,1.41,39,36,40,0.41,12,178.33,9.25,180,154,189,2.67,1,82.6,NA,82.6,82.6,82.6,NA,1,61.8,NA,61.8,61.8,61.8,NA,1,22.8,NA,22.8,22.8,22.8,NA,1,18.7,NA,18.7,18.7,18.7,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"394",394,"Batara cinerea",12,11,3,136.67,9.31,135.5,128,146.5,5.37,5,340.2,12.66,340,330,361,5.66,0,NA,NA,NA,Inf,-Inf,NA,6,173.33,5.16,175,165,180,2.11,6,45.5,4.68,45,38,51,1.91,6,31.63,4.23,32,24,36,1.73,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"395",395,"Brotogeris tirica",12,6,12,67.75,7.44,68.5,52,79,2.15,12,235.58,17.92,234.5,206,270,5.17,9,114.06,12.12,120,84,122,4.04,12,117.3,11.53,114.3,105,140,3.33,9,16.54,4.49,15,13.7,28.3,1.5,4,16.42,0.79,16.28,15.61,17.5,0.4,12,15.33,1.17,15.4,13.35,17,0.34,11,9.86,1.14,10,7.17,11.4,0.34
"396",396,"Clibanornis rectirostris",12,9,12,45.38,5.29,47.75,31,50.5,1.53,11,225.36,13.06,223,208,248,3.94,2,97.5,3.54,97.5,95,100,2.5,2,91,5.66,91,87,95,4,2,32.15,2.33,32.15,30.5,33.8,1.65,2,27.3,0.99,27.3,26.6,28,0.7,2,7.97,0.53,7.97,7.6,8.35,0.37,2,11.65,0.64,11.65,11.2,12.1,0.45
"397",397,"Cranioleuca pallida",12,5,12,11.85,0.97,12,10,13.7,0.28,9,142.44,11.89,144,120,157,3.96,0,NA,NA,NA,Inf,-Inf,NA,5,62.62,5.24,64.1,53.9,67,2.34,0,NA,NA,NA,Inf,-Inf,NA,5,12.24,0.43,12,11.8,12.8,0.19,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"398",398,"Glaucidium minutissimum",12,12,10,57.1,10.24,55.25,41,72,3.24,9,156,12.08,158,140,173,4.03,3,81,9.64,85,70,88,5.57,10,62.1,6.15,64.5,52,70,1.95,2,17.65,2.19,17.65,16.1,19.2,1.55,7,12.06,1.61,12.3,10,14,0.61,6,9.71,0.29,9.71,9.4,10.2,0.12,6,9.72,3.8,7.96,6.07,15,1.55
"399",399,"Lipaugus lanioides",12,4,12,88.83,9.09,86.75,70,105,2.62,4,258,15.47,253.5,245,280,7.74,0,NA,NA,NA,Inf,-Inf,NA,3,115.33,2.08,116,113,117,1.2,0,NA,NA,NA,Inf,-Inf,NA,9,20.34,1.78,20,17.4,23.2,0.59,9,8.66,0.51,8.7,8,9.4,0.17,9,11.5,2.16,12,8.2,14.5,0.72
"400",400,"Poecilotriccus fumifrons",12,6,7,6.29,0.95,6,5,8,0.36,12,90.87,6.27,90.22,81.31,103,1.81,3,40,4.36,42,35,43,2.52,11,36.15,5.2,34.81,30.51,48,1.57,5,18.1,0.75,18,17.2,19,0.33,12,12.84,1.24,13.11,10,14.49,0.36,11,3.56,0.36,3.58,2.9,4.12,0.11,12,6.52,1.09,6.46,4.92,9,0.31
"401",401,"Psittacara leucophthalmus",12,9,9,188.78,98.1,170,12,305,32.7,12,327.08,20.76,331.5,272,350,5.99,1,176,NA,176,176,176,NA,1,165,NA,165,165,165,NA,1,15.8,NA,15.8,15.8,15.8,NA,1,29.8,NA,29.8,29.8,29.8,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"402",402,"Pyriglena atra",12,2,9,31.25,3.64,30.25,27,39.25,1.21,3,152.67,5.51,150,149,159,3.18,9,76.67,2.74,76,74,83,0.91,11,74.07,2.94,74,68.71,79,0.89,0,NA,NA,NA,Inf,-Inf,NA,12,18.48,1.37,18.62,16.04,20.9,0.4,3,5.64,0.3,5.59,5.37,5.97,0.18,3,9.27,0.43,9.12,8.93,9.75,0.25
"403",403,"Ramphotrigon megacephalum",12,11,10,13.1,0.7,13,12,14,0.22,8,135.38,5.29,135.5,127,142,1.87,4,60.33,3.66,60,56.3,65,1.83,11,57.67,4.43,57,50.4,65,1.34,7,16.39,1.49,16,15,19.3,0.56,8,12.19,2.44,12.95,7,15,0.86,3,5.67,2.45,4.3,4.2,8.5,1.42,3,11.13,0.57,11.3,10.5,11.6,0.33
"404",404,"Sporophila falcirostris",12,3,12,13.46,3.68,12.25,10,24,1.06,2,105.5,2.12,105.5,104,107,1.5,2,48,11.31,48,40,56,8,12,41.48,6.87,38.75,37,61,1.98,2,14.35,0.21,14.35,14.2,14.5,0.15,10,9.83,0.81,10.1,8.6,11,0.25,2,8.65,0.07,8.65,8.6,8.7,0.05,2,9.68,0.11,9.68,9.6,9.76,0.08
"405",405,"Tapera naevia",12,10,12,49.79,8.4,50.31,31,62,2.43,5,262.6,17.62,269,240,283,7.88,4,115.5,4.36,113.5,113,122,2.18,10,136.4,25.51,139,104,166,8.07,8,30.99,2.99,31.95,23.7,32.85,1.06,8,18.4,2.45,17.8,15,21.6,0.87,5,7.39,0.45,7.41,6.85,8,0.2,5,7.42,1.99,7.12,5.65,10.7,0.89
"406",406,"Veniliornis affinis",12,10,11,37.14,3.6,37,30,42,1.09,9,181.67,11.19,185,163,198,3.73,6,76.37,18.59,77,55,95,7.59,11,67.92,16.74,59.49,53.7,96,5.05,5,16.26,2.21,17,12.4,17.9,0.99,12,22.15,1.15,22.34,19.4,23.6,0.33,10,7.34,0.68,7.14,6.45,8.69,0.21,10,10.12,1.39,9.7,8.02,12.33,0.44
"407",407,"Veniliornis maculifrons",12,10,10,33.5,1.39,33.5,31.5,36,0.44,9,161.22,10.2,160,146,175,3.4,1,95,NA,95,95,95,NA,5,51.4,3.21,51,47,56,1.44,1,10.9,NA,10.9,10.9,10.9,NA,5,19.1,1.33,18.9,17.7,21,0.6,4,6.5,0.32,6.45,6.2,6.9,0.16,5,7.95,1.75,7.2,6.5,10.93,0.78
"408",408,"Chordeiles minor",11,3,1,57,NA,57,57,57,NA,1,224,NA,224,224,224,NA,1,173,NA,173,173,173,NA,11,112.45,10.14,112,92,130,3.06,11,16.08,1.89,15.44,14.18,21.3,0.57,10,6.57,0.37,6.62,5.97,7.15,0.12,11,3.13,0.36,3.16,2.38,3.69,0.11,11,6.08,1.26,5.7,5.29,9.7,0.38
"409",409,"Dysithamnus xanthopterus",11,7,7,16.64,3.89,15.5,12,24.5,1.47,4,137.75,7.5,138.5,128,146,3.75,2,62,1.41,62,61,63,1,3,51.33,1.53,51,50,53,0.88,2,21.05,0.07,21.05,21,21.1,0.05,5,13.85,2.56,12.65,11,16.9,1.14,5,5.49,0.3,5.6,4.95,5.7,0.14,9,8.71,1.56,8.92,6.5,11.7,0.52
"410",410,"Hemithraupis flavicollis",11,7,10,14.38,1.24,14.25,12.55,16,0.39,8,129.41,8.49,129.57,115,144.42,3,1,65,NA,65,65,65,NA,7,53.51,2.75,54.41,48.84,56.31,1.04,0,NA,NA,NA,Inf,-Inf,NA,6,13.48,0.95,13.48,12.19,14.77,0.39,6,5.54,0.16,5.53,5.36,5.76,0.06,6,7.3,0.49,7.32,6.51,7.83,0.2
"411",411,"Hemithraupis guira",11,8,9,11.39,0.74,11.5,10,12.5,0.25,10,141.15,49.24,125.25,111.01,279,15.57,3,66.67,1.15,66,66,68,0.67,11,53.7,5.56,53.2,47.58,67,1.68,2,15.4,1.27,15.4,14.5,16.3,0.9,10,12.52,1.09,12.71,10,13.6,0.34,8,5.07,0.27,5.03,4.6,5.4,0.09,8,7.25,0.43,7.23,6.72,7.96,0.15
"412",412,"Hylocharis cyanus",11,9,9,3.11,0.82,3,2,4.25,0.27,7,81.29,3.73,82,75,86,1.41,5,47.56,2.25,47.6,44.1,50,1.01,10,29.53,8.36,26,23.5,45,2.64,0,NA,NA,NA,Inf,-Inf,NA,8,17.68,1.87,17.05,15.7,20.8,0.66,5,2.61,0.35,2.6,2.2,3.02,0.16,5,3.77,0.54,3.65,3.11,4.5,0.24
